Neighbourhood,Neighbourhood Id,Combined Indicators,Total Area,Total Population,Pop - Males,Pop - Females,Visible Minority Category,Labour Force Category,   In Labour Force,   Unemployed,   Not in Labour Force,Less than grade 9,With College Certificate/Diploma,With Bachelor Degree or Higher,High Shelter Costs,Owned Dwellings,Rented Dwellings,   Not a Visible Minority,Recent Immigrants,Tenant Average Rent,Average Family Income,After-Tax Household Income,Part-Time Employment,Low Income Families,Social Assistance Recipients,Low Income Population,Early Development Instrument (EDI),Healthy Food Index,Social Housing Units,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Robberies,Vehicle Thefts,Thefts,Murders,Arsons,Fires & Fire Alarms,Fire Vehicle Incidents,Hazardous Incidents,Rent Bank Applicants,Home Repairs Needed
Forest Hill North,102,N/A,1.60,"12,806.00","5,780.00","7,030.00","12,670.00","10,610.00","7,520.00",560.00,"3,085.00",995.00,"7,545.00","5,320.00","1,945.00","1,850.00","3,485.00","9,100.00","1,140.00","$1,132.00","$137,887.00","$53,978.00",290.00,"1,020.00",410.00,"1,770.00",11.11111111,29.11,311.00,2.00,22.00,2.00,18.00,5.00,6.00,2.00,0.00,1.00,126.00,35.00,77.00,1.00,365.0
Lawrence Park South,103,N/A,3.20,"15,179.00","7,190.00","7,995.00","15,110.00","12,270.00","8,365.00",625.00,"3,895.00",905.00,"9,510.00","7,880.00","1,315.00","4,010.00","1,665.00","12,560.00",475.00,"$1,230.00","$216,754.00","$105,043.00",510.00,580.00,132.00,930.00,6.153846154,37.53,113.00,6.00,19.00,0.00,45.00,2.00,20.00,1.00,0.00,0.00,222.00,35.00,87.00,2.00,390.0
Mount Pleasant West,104,N/A,1.30,"29,658.00","13,345.00","16,320.00","28,920.00","26,560.00","19,780.00","1,330.00","6,765.00","1,725.00","20,575.00","14,915.00","7,290.00","4,555.00","13,020.00","19,200.00","2,580.00","$1,148.00","$89,797.00","$48,066.00","4,505.00","3,220.00",937.00,"4,740.00",10.15625,41.6,"1,383.00",10.00,91.00,8.00,38.00,5.00,4.00,6.00,1.00,0.00,301.00,31.00,106.00,14.00,830.0
Lawrence Park North,105,N/A,2.30,"14,607.00","7,055.00","7,550.00","14,560.00","11,280.00","7,945.00",505.00,"3,335.00",765.00,"8,660.00","7,000.00","1,215.00","4,240.00","1,260.00","11,455.00",345.00,"$1,290.00","$165,131.00","$103,660.00","1,342.00",590.00,85.00,980.00,7.567567568,52.03,113.00,1.00,21.00,3.00,28.00,4.00,13.00,3.00,0.00,0.00,117.00,34.00,80.00,1.00,295.0
Humewood-Cedarvale,106,N/A,1.90,"14,365.00","6,615.00","7,745.00","14,225.00","12,065.00","8,890.00",630.00,"3,175.00","1,285.00","8,720.00","6,060.00","2,340.00","2,370.00","4,205.00","10,125.00",775.00,$974.00,"$105,770.00","$49,252.00",471.00,"1,190.00",445.00,"1,820.00",12.24489796,32.85,480.00,4.00,47.00,4.00,26.00,7.00,17.00,5.00,0.00,0.00,106.00,29.00,79.00,14.00,630.0
Oakwood Village,107,N/A,2.20,"21,210.00","10,090.00","11,120.00","20,960.00","17,845.00","11,725.00",800.00,"6,120.00","4,555.00","9,205.00","5,080.00","3,190.00","4,570.00","3,985.00","11,910.00","1,455.00",$877.00,"$67,809.00","$46,349.00",500.00,"2,280.00","1,504.00","3,930.00",15.05376344,41.07,825.00,30.00,110.00,8.00,22.00,18.00,24.00,1.00,0.00,1.00,122.00,14.00,90.00,10.00,895.0
Briar Hill-Belgravia,108,N/A,1.80,"14,257.00","6,625.00","7,630.00","14,205.00","12,360.00","8,350.00",725.00,"4,005.00","2,690.00","6,730.00","3,405.00","1,960.00","2,870.00","2,940.00","7,710.00","1,425.00",$976.00,"$67,358.00","$48,395.00",637.00,"1,670.00",856.00,"2,870.00",11.30434783,34.23,316.00,20.00,53.00,4.00,31.00,15.00,16.00,6.00,0.00,0.00,103.00,49.00,87.00,10.00,435.0
Caledonia-Fairbank,109,N/A,1.50,"9,955.00","4,920.00","5,030.00","9,905.00","8,420.00","5,550.00",400.00,"2,875.00","3,045.00","3,320.00","1,160.00","1,100.00","2,425.00","1,090.00","6,320.00",685.00,$941.00,"$66,257.00","$51,225.00",123.00,930.00,569.00,"1,720.00",11.71171171,53.48,7.00,15.00,60.00,7.00,13.00,18.00,13.00,1.00,0.00,0.00,43.00,22.00,36.00,7.00,285.0
Keelesdale-Eglinton West,110,N/A,1.70,"11,058.00","5,350.00","5,710.00","11,045.00","9,425.00","5,645.00",485.00,"3,780.00","3,425.00","3,115.00","1,105.00","1,510.00","2,510.00","1,470.00","6,350.00",700.00,$796.00,"$64,857.00","$45,058.00",424.00,"1,080.00",989.00,"1,970.00",19.62616822,34.48,351.00,9.00,49.00,5.00,14.00,23.00,17.00,0.00,0.00,0.00,122.00,45.00,76.00,12.00,285.0
Rockcliffe-Smythe,111,N/A,5.10,"22,246.00","10,750.00","11,495.00","22,235.00","18,740.00","11,215.00","1,030.00","7,525.00","5,715.00","7,580.00","2,700.00","3,185.00","5,250.00","3,650.00","12,000.00","1,040.00",$810.00,"$64,271.00","$46,154.00",699.00,"2,640.00","2,451.00","5,160.00",15.85365854,31.87,"1,092.00",37.00,123.00,11.00,37.00,46.00,36.00,3.00,0.00,3.00,239.00,59.00,123.00,16.00,905.0
